x_spline,y_spline,y_spline_smoothed
5.943114943405643317e+03,4.394253309604450806e+02,4.235969554143447340e+02
5.971148504459442847e+03,4.382476152103009781e+02,4.263878661682827556e+02
5.999182065513243288e+03,4.397624305986591366e+02,4.291704951125781236e+02
6.027215626567043728e+03,4.418950419409948722e+02,4.319445283984845787e+02
6.055249187620843259e+03,4.436205882568806373e+02,4.347096564889525325e+02
6.083282748674643699e+03,4.438616290669896784e+02,4.374655869539290052e+02
6.111316309728444139e+03,4.432658965770247050e+02,4.402120283517031680e+02
6.139349870782244579e+03,4.422902627922251213e+02,4.429486900892860035e+02
6.167383431836044110e+03,4.421502415199807956e+02,4.456752950247253580e+02
6.195416992889844551e+03,4.430723602859678181e+02,4.483915727058952143e+02
6.223450553943644991e+03,4.452528781158899847e+02,4.510972611712019784e+02
6.251484114997445431e+03,4.492740604413384631e+02,4.537921002580646928e+02
6.279517676051244962e+03,4.538344506285968123e+02,4.564758482116749292e+02
6.307551237105045402e+03,4.591733760539516425e+02,4.591482816763539176e+02
6.335584798158845842e+03,4.650539624861115726e+02,4.618091814495718950e+02
6.363618359212646283e+03,4.710121807985697728e+02,4.644583344246232741e+02
6.391651920266445813e+03,4.784163641371529820e+02,4.670955371335710993e+02
6.419685481320246254e+03,4.856399025666035527e+02,4.697205971695105973e+02
6.447719042374046694e+03,4.919640099661979207e+02,4.723333316897229679e+02
6.475752603427847134e+03,4.987316442537195940e+02,4.749335628790065016e+02
6.503786164481646665e+03,5.059295323232620945e+02,4.775211250141668415e+02
6.531819725535447105e+03,5.121492161344009446e+02,4.800958650861592787e+02
6.559853286589247546e+03,5.157004737485887063e+02,4.826576402753495358e+02
6.587886847643047076e+03,5.168192889859750494e+02,4.852063224481166230e+02
6.615920408696847517e+03,5.181772006779586945e+02,4.877417937052322259e+02
6.643953969750647957e+03,5.207966706830643489e+02,4.902639475165619274e+02
6.671987530804448397e+03,5.248733559230078072e+02,4.927726922685462227e+02
6.700021091858247928e+03,5.302721495694491978e+02,4.952679452739101293e+02
6.728054652912048368e+03,5.373218413672680072e+02,4.977496355367310912e+02
6.756088213965848809e+03,5.451305048011639656e+02,5.002176986213589203e+02
6.784121775019649249e+03,5.541647259419702323e+02,5.026720793006039116e+02
6.812155336073448780e+03,5.626800815517332239e+02,5.051127381067773854e+02
6.840188897127249220e+03,5.672430227053213230e+02,5.075396482508494387e+02
6.868222458181049660e+03,5.670200915464571381e+02,5.099527982087791997e+02
