Station;Year;Month;Day;Hour(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
447500;1974;3;19;18;-13;;;;;;16.9;;40;40;;;;;;;100
447500;1974;3;20;0;-13;;;;;;14.9;;30;30;;;;;;;100
447500;1974;3;20;6;-12;;;;;;15.9;;30;30;;;;;;;100
447500;1974;3;20;12;-9;;;;;;12;;30;30;;;;;;;100
447500;1974;3;20;18;-6;;;;;;14.9;;20;20;;;;;;;100
447500;1974;3;21;0;-11;;;;;;4;;40;40;;;;;;;0
447500;1974;3;21;18;-7;;;;;;14.9;;40;40;;;;;;;100
447500;1974;3;22;0;-5;;;;;;14.9;;20;20;;;;;;;100
447500;1974;3;22;6;-6;;;;;;13.9;;30;30;;;;;;;100
447500;1974;3;22;12;-7;;;;;;6.9;;40;40;;;;;;;100
447500;1974;3;22;18;-6;;;;;;6;;30;30;;;;;;;75
447500;1974;3;23;6;-8;;;;;;2.9;;30;30;;;;;;;100
447500;1974;3;23;12;-7;;;;;;6.9;;80;80;;;;;;;100
447500;1974;3;23;18;-5;;;;;;6.9;;50;50;;;;;;;100
447500;1974;3;24;0;-8;;;;;;9.9;;300;300;;;;;;;100
447500;1974;3;24;6;-9;;;;;;9.9;;30;30;;;;;;;100
447500;1974;3;24;18;-9;;;;;;1.9;;60;60;;;;;;;25
447500;1974;3;25;0;-23;;;;;;8.9;;210;210;;;;;;;0
447500;1974;3;25;12;-23;;;;;;5;;180;180;;;;;;;0
447500;1974;3;25;18;-6;;;;;;5;;150;150;;;;;;;0
447500;1974;3;26;0;-6;;;;;;9.9;;60;60;;;;;;;100
447500;1974;3;26;6;-10;;;;;;6.9;;50;50;;;;;;;100
447500;1974;3;26;12;-12;;;;;;16.9;;20;20;;;;;;;100
447500;1974;3;26;18;-7;;;;;;20;;30;30;;;;;;;100
447500;1974;3;27;0;-7;;;;;;25;;30;30;;;;;;;100
447500;1974;3;27;6;-17;;;;;;9.9;;70;70;;;;;;;100
447500;1974;3;27;12;-23;;;;;;0;;0;0;;;;;;;0
447500;1974;3;27;18;-14;;;;;;2.9;;110;110;;;;;;;0
447500;1974;3;28;0;-24;;;;;;4;;130;130;;;;;;;0
447500;1974;3;28;6;-23;;;;;;4;;140;140;;;;;;;0
447500;1974;3;28;12;-23;;;;;;5;;170;170;;;;;;;0
