Year;Month;Day;Hour(utc);301;365
1975;7;27;0;4.0575094;133.68086
1975;7;27;6;5.4882126;131.41235
1975;7;27;12;4.3977904;128.52002
1975;7;27;18;4.7951627;140.17088
1975;7;28;0;5.0775223;144.92981
1975;7;28;6;5.471789;147.12717
1975;7;28;12;4.369783;169.44171
1975;7;28;18;4.269504;191.23695
1975;7;29;0;5.946309;206.10297
1975;7;29;6;6.808449;207.98915
1975;7;29;12;5.473676;232.8078
1975;7;29;18;1.6404629;277.35596
1975;7;30;0;4.2473874;115.81584
1975;7;30;6;7.059176;120.83458
1975;7;30;12;5.3370805;134.09412
1975;7;30;18;3.6697943;176.71178
1975;7;31;0;2.8529346;187.12796
1975;7;31;6;3.1114068;234.1328
1975;7;31;12;3.3852582;225.7361
1975;7;31;18;2.5385735;236.48862
1976;5;1;0;6.7202306;162.12732
1976;5;1;6;6.768269;186.45798
1976;5;1;12;5.396184;212.61269
1976;5;1;18;5.1299944;226.04039
1976;5;2;0;6.031919;227.49689
1976;5;2;6;6.878771;231.67642
1976;5;2;12;7.216158;232.06763
1976;5;2;18;5.386142;257.69495
1976;5;3;0;4.3399906;226.36009
1976;5;3;6;4.3705277;207.38147
1976;5;3;12;5.217499;204.17276
1976;5;3;18;5.051468;251.78171
1976;5;4;0;3.3868155;212.89969
1976;5;4;6;3.8600333;191.78595
1976;5;4;12;3.265734;182.90398
1976;5;4;18;2.5055299;228.52702
1976;5;5;0;3.9664824;151.44753
1976;5;5;6;5.728588;136.22665
1976;5;5;12;6.3379383;135.20947
1976;5;5;18;10.694031;133.6025
1976;5;6;0;10.419924;142.98395
1976;5;6;6;11.104168;144.23943
1976;5;6;12;12.730792;141.87677
1976;5;6;18;9.846182;154.74411
1976;5;7;0;6.841058;144.24614
1976;5;7;6;5.501777;142.06252
1976;5;7;12;2.6755319;167.28156
1976;5;7;18;2.9351294;269.6021
1976;5;8;0;4.5453563;257.76282
1976;5;8;6;4.249571;264.2323
1976;5;8;12;5.3844438;272.1063
1976;5;8;18;6.6288543;288.00723
1976;5;9;0;3.6690853;290.59888
1976;5;9;6;3.6477969;173.14066
1976;5;9;12;3.4125538;155.66605
1976;5;9;18;4.5151844;147.29367
1976;5;10;0;6.9404254;139.60654
1976;5;10;6;8.859136;141.23808
1976;5;10;12;7.0438614;167.12183
1976;5;10;18;4.0144753;181.3186
1976;5;11;0;3.370419;205.8711
1976;5;11;6;5.530903;218.99156
1976;5;11;12;5.7711253;239.7291
1976;5;11;18;7.569226;234.84811
1976;5;12;0;5.342522;215.79114
1976;5;12;6;4.9273334;252.65352
1976;5;12;12;7.5649314;279.45923
1976;5;12;18;6.4844193;277.71097
1976;5;13;0;4.4535346;240.39519
1976;5;13;6;5.111889;231.26831
1976;5;13;12;6.356158;255.57704
1976;5;13;18;5.8248615;312.3708
1976;5;14;0;2.558048;22.04718
1976;5;14;6;5.1840115;131.83708
1976;5;14;12;5.5778275;141.81876
1976;5;14;18;4.64773;158.10213
1976;5;15;0;4.0603743;226.17093
1976;5;15;6;6.7797112;228.39433
1976;5;15;12;9.253514;236.47734
1976;5;15;18;7.382751;287.43677
1976;5;16;0;5.9096165;314.36453
1976;5;16;6;3.542479;308.52762
1976;5;16;12;3.5717733;317.64914
1976;5;16;18;2.8933835;311.57483
1976;5;17;0;4.256255;131.7069
1976;5;17;6;5.88685;132.75383
1976;5;17;12;5.745015;142.09363
1976;5;17;18;6.3868937;151.14957
1976;5;18;0;7.9483666;148.5715
1976;5;18;6;5.8519907;168.0841
1976;5;18;12;4.7667017;186.89444
1976;5;18;18;4.640728;230.80362
1976;5;19;0;3.7453592;209.5906
1976;5;19;6;3.7270908;216.15352
1976;5;19;12;2.2736034;236.13809
1976;5;19;18;3.1176739;326.31036
1976;5;20;0;3.494736;35.89203
1976;5;20;6;3.9388015;90.70067
1976;5;20;12;4.159125;57.859863
1976;5;20;18;4.028582;62.058105
1976;5;21;0;4.8954086;106.403854
1976;5;21;6;6.317842;110.35727
1976;5;21;12;5.4371896;127.42282
1976;5;21;18;4.2852674;140.07214
1976;5;22;0;6.413789;143.23163
1976;5;22;6;6.9875927;156.02838
1976;5;22;12;7.848365;143.30122
1976;5;22;18;4.382032;138.99391
1976;5;23;0;6.151235;139.17865
1976;5;23;6;4.4785733;151.80475
1976;5;23;12;1.958433;193.47687
1976;5;23;18;2.1680796;45.671753
1976;5;24;0;3.289559;50.921387
1976;5;24;6;3.2167895;109.95877
1976;5;24;12;3.3872828;134.4691
1976;5;24;18;4.036602;152.59714
1976;5;25;0;5.049881;136.35692
1976;5;25;6;4.545335;148.77948
1976;5;25;12;5.880114;192.45853
1976;5;25;18;9.605037;155.44041
1976;5;26;0;15.975204;147.41351
1976;5;26;6;12.886985;151.72092
1976;5;26;12;12.169344;147.1504
1976;5;26;18;11.463469;146.0553
1976;5;27;0;11.312298;137.21634
1976;5;27;6;12.463651;133.37096
1976;5;27;12;13.175099;138.50017
1976;5;27;18;14.409515;138.00108
1976;5;28;0;16.053116;138.64459
1976;5;28;6;13.380909;134.19409
1976;5;28;12;12.657294;127.01335
1976;5;28;18;15.303474;131.21852
1976;5;29;0;11.883868;134.44228
1976;5;29;6;14.288257;122.88876
1976;5;29;12;13.221846;130.85345
1976;5;29;18;12.847131;129.55733
1976;5;30;0;11.328273;126.52457
1976;5;30;6;9.234072;119.57416
1976;5;30;12;7.6433463;109.46054
1976;5;30;18;7.88287;113.448044
1976;5;31;0;8.191219;113.205246
1976;5;31;6;8.461736;111.89229
1976;5;31;12;7.511517;106.51677
1976;5;31;18;7.728549;111.237946
1976;6;1;0;7.7993717;113.388504
1976;6;1;6;7.967544;119.87123
1976;6;1;12;8.475127;121.47635
1976;6;1;18;8.286886;122.705414
1976;6;2;0;8.873777;111.20102
1976;6;2;6;9.350852;94.932434
1976;6;2;12;12.703403;97.00873
1976;6;2;18;13.713705;121.470795
1976;6;3;0;10.280793;109.205246
1976;6;3;6;11.246306;119.97983
1976;6;3;12;10.989315;114.83574
1976;6;3;18;11.927432;130.95657
1976;6;4;0;9.136711;139.40868
1976;6;4;6;5.1026573;124.779724
1976;6;4;12;4.1648498;133.30566
1976;6;4;18;1.9071879;146.48895
1976;6;5;0;4.524201;133.25383
1976;6;5;6;6.355234;137.52962
1976;6;5;12;8.238114;135.84035
1976;6;5;18;6.824224;131.26964
1976;6;6;0;8.1210985;138.92685
1976;6;6;6;9.556767;140.55914
1976;6;6;12;9.378463;146.37833
1976;6;6;18;6.825079;153.77238
1976;6;7;0;6.7062798;153.46445
1976;6;7;6;6.145355;151.8835
1976;6;7;12;6.480408;158.45737
1976;6;7;18;4.763952;167.03903
1976;6;8;0;6.140045;149.81326
1976;6;8;6;6.281861;167.698
1976;6;8;12;5.10335;170.43411
1976;6;8;18;2.963998;209.3835
1976;6;9;0;3.0913637;133.62639
1976;6;9;6;3.5408998;132.46388
1976;6;9;12;4.456547;86.29089
1976;6;9;18;1.4661406;64.9559
1976;6;10;0;4.8837476;100.85919
1976;6;10;6;6.1557207;142.92097
1976;6;10;12;7.958726;137.16223
1976;6;10;18;7.1700053;143.6483
1976;6;11;0;5.9618254;141.84691
1976;6;11;6;4.9950266;134.13393
1976;6;11;12;5.9632816;135.71439
1976;6;11;18;6.874809;142.3002
1976;6;12;0;10.010057;151.2474
1976;6;12;6;11.4105015;149.41791
1976;6;12;12;10.1776905;152.83168
1976;6;12;18;7.702313;162.32
1976;6;13;0;7.831688;152.75365
1976;6;13;6;7.075491;149.74367
1976;6;13;12;5.4805956;153.12054
1976;6;13;18;3.187622;163.71152
1976;6;14;0;6.2337933;136.32007
1976;6;14;6;7.7711654;140.89955
1976;6;14;12;10.934165;148.5505
1976;6;14;18;9.34265;149.55994
1976;6;15;0;9.294586;113.509
1976;6;15;6;13.100071;105.068665
1976;6;15;12;12.758553;108.14406
1976;6;15;18;15.277249;118.30324
1976;6;16;0;13.82968;128.83038
1976;6;16;6;13.2598915;135.77005
1976;6;16;12;9.904602;147.27777
1976;6;16;18;6.0155773;161.48363
1976;6;17;0;7.0955396;145.16733
1976;6;17;6;8.49233;158.29526
1976;6;17;12;9.1503315;160.34946
1976;6;17;18;6.480413;182.66138
1976;6;18;0;6.540564;145.63853
1976;6;18;6;10.945694;144.35275
1976;6;18;12;13.169861;142.71634
1976;6;18;18;15.631953;150.27937
1976;6;19;0;10.789335;156.03175
1976;6;19;6;7.481631;151.61594
1976;6;19;12;5.404151;153.9441
1976;6;19;18;3.3794491;138.52579
1976;6;20;0;5.1173234;135.21317
1976;6;20;6;6.2245765;149.30713
1976;6;20;12;6.9925494;158.23425
1976;6;20;18;5.4272785;182.81256
1976;6;21;0;6.5983114;167.92078
1976;6;21;6;6.5489907;168.5416
1976;6;21;12;5.2392073;177.62827
1976;6;21;18;4.235174;200.5232
1976;6;22;0;4.5218215;162.413
1976;6;22;6;5.170867;170.85349
1976;6;22;12;4.9452915;220.49817
